"province","zone_sante","annee","dtc1_vaccinated","survivants_admin","cv_dtc1_admin","survivants_ecv","cv_dtc1_ecv","variation_ecv_dtc1","survivants_ihme","cv_dtc1_ihme","variation_ihme_dtc1","naiss_dhis2","naiss_ecv","bcg","variation_bcg","pop_adj","bcg_adj","bcg_eds","bcg_eds_2024","pop_adj_2024","bcg_eds_2024_2025","pop_adj_2024_2025"
"equateur","ingende",2023,5086,6612,0.7692075015124017,6495.530012771392,0.783,0.017614940597188183,6033.496959382028,0.84296056403763,0.0874928978551077,7579,4081.664098613251,2649,0.4614508380243764,6612,6063.2,6975.66,7184.9298,6810.360000000001,7400.477694,7014.670800000001
"haut_katanga","mumbunda",2023,11126,14337,0.7760340378042826,13058.68544600939,0.8520000000000001,0.08916192745976222,14334.930377668255,0.776146078625725,1.44355327596048e-4,16432,11187.287173666287,9856,0.3191767786230351,14337,13145.6,15125.535,15579.30105,14767.11,16046.6800815,15210.123300000001
"haut_katanga","tshamilemba",2023,8003,10513,0.7612479786930467,10642.287234042553,0.752,-0.012297844006711012,10188.60253461368,0.785485543558251,0.030856793054914927,12049,11395.402298850575,9914,0.054244974782091886,10513,12049,11091.215,11423.95145,10828.39,11766.669993500002,11153.2417
"haut_katanga","vangu",2023,4686,5961,0.7861097131353799,5493.552168815944,0.8529999999999999,0.07841768682839385,5820.787698622805,0.805045681550747,0.02352160734393478,6832,5687.272727272728,4692,0.16755375771769204,5961,5687.272727272728,6288.855,6477.5206499999995,6139.83,6671.8462695,6324.0249
"haut_lomami","baka",2023,1349,1454,0.9277854195323246,1598.3412322274883,0.844,-0.09927182409043209,1521.1964076302138,0.886801989035414,-0.04621486081857895,1667,1718.961625282167,1523,-0.031170741021095984,1454,1667,1533.97,1579.9891,1497.6200000000001,1627.3887730000001,1542.5486
"haut_lomami","kamina",2023,11683,13177,0.886620626849814,13991.616766467067,0.835,-0.06182110999977738,13468.7634232067,0.867414448743689,-0.02214187016822489,15102,12281.142857142857,10746,0.18678699131619275,13177,12281.142857142857,13901.735,14318.78705,13572.31,14748.3506615,13979.479299999999
"haut_lomami","malemba_nkulu",2023,13089,15005,0.8723092302565811,13549.689440993789,0.966,0.0969883744755889,14277.300358315977,0.916769954508673,0.04849714373102452,17198,11764.767932489453,11153,0.31592232047392416,15005,13758.4,15830.275,16305.18325,15455.15,16794.3387475,15918.8045
"haut_lomami","mukanga",2023,8300,8977,0.9245850506850841,8300,1,0.0754149493149159,9246.004653866925,0.897685033776045,-0.029965985726514967,10289,6647,6647,0.35397025950043737,8977,8231.2,9470.735,9754.85705,9246.31,10047.5027615,9523.6993
"ituri","adi",2023,7218,7344,0.9828431372549019,7433.573635427395,0.971,-0.012196845782597351,7896.436412567326,0.914083217147474,-0.07522282306199979,8417,7597.323600973236,6245,0.09738343816404463,7344,8417,7747.92,7980.3576,7564.320000000001,8219.768328,7791.249600000001
"ituri","adja",2023,5407,5862,0.9223814397816444,5407,1,0.0776185602183555,6252.937508572297,0.864713583429775,-0.0666901242873246,6719,3655,3655,0.45602024110730766,5862,5375.2,6184.41,6369.9423,6037.860000000001,6561.040569,6218.995800000001
"ituri","ariwara",2023,9316,9444,0.9864464210080475,9316,1,0.013553578991952562,9992.60887302744,0.932289066686701,-0.058090732002058505,10824,10204.081632653062,8500,0.05727257643633942,9444,10824,9963.42,10262.3226,9727.32,10570.192278,10019.1396
"ituri","aru",2023,8373,8270,1.0124546553808949,8935.965848452508,0.937,-0.0805279139604,9024.61179853091,0.927796140922429,-0.09124689220446314,9478,10403.565640194489,6419,-0.09765410848222081,8270,9478,8724.85,8986.595500000001,8518.1,9256.193365000001,8773.643
"ituri","komanda",2023,9741,10702,0.9102037002429453,10200,0.955,0.046907120164455245,11515.53708631146,0.845900623391604,-0.07601729455349097,12266,7892.045454545455,6945,0.356591761409958,10702,9812.8,11290.61,11629.328300000001,11023.06,11978.208149000002,11353.7518
"ituri","mahagi",2023,7514,8108,0.9267390231869759,7942.917547568711,0.946,0.02036044060573376,8545.54344781286,0.879288724688788,-0.05396441142240514,9293,6082.175925925926,5255,0.34550996169956677,8108,7434.4,8553.94,8810.558200000001,8351.24,9074.874946000002,8601.7772
"kongo_central","boko_kivulu",2023,6592,6915,0.953289949385394,6931.650893796004,0.951,-0.0024079383652934653,7425.442995718951,0.887758481722981,-0.07381677450744054,7926,5427.970557308097,5162,0.315168993526609,6915,6340.8,7295.325,7514.18475,7122.45,7739.6102925000005,7336.1235
"kongo_central","inga",2023,3241,3815,0.8495412844036697,3716.743119266055,0.872,0.02575540779395671,3546.755995071465,0.9137927741586,0.07031297639017958,4372,4091.633466135458,2054,0.06412775248502789,3815,4372,4024.825,4145.56975,3929.4500000000003,4269.936842499999,4047.3335
"kongo_central","kitona",2023,3722,4207,0.8847159496077965,3897.3821989528797,0.955,0.07359586428502979,4216.5849312558375,0.882704857291103,-0.002278329274028416,4821,3829.7872340425533,3600,0.20560314581154254,4207,3856.8,4438.385,4571.536550000001,4333.21,4708.682646500001,4463.2063
"kongo_central","kwilu_ngongo",2023,5133,5822,0.8816557883888698,6139.952153110048,0.836,-0.05461218706802613,5656.4002259305935,0.907467611020314,0.028443794927757903,6673,3549.2063492063494,3354,0.4681243295060169,5822,5338.4,6142.21,6326.4763,5996.66,6516.270589000001,6176.5598
